frame,id,x,y,image_index,angle,site,site_id
0,0,639,576,0,-138,false,
0,1,371,342,0,-182,true,0
0,2,589,67,0,35,false,
0,3,631,325,0,-100,false,
0,4,542,167,0,-4,false,
0,5,680,21,0,-70,false,
0,6,411,705,0,-99,false,
0,7,159,320,0,-227,false,
0,8,171,329,0,-100,false,
0,9,170,173,0,-268,false,
0,10,346,222,0,-169,false,
0,11,633,418,0,-98,false,
0,12,137,741,0,39,false,
0,13,94,246,0,-40,false,
0,14,533,698,0,10,false,
0,15,619,505,0,-242,false,
0,16,439,666,0,-199,false,
0,17,382,438,0,-35,true,0
0,18,186,599,0,-102,false,
0,19,126,414,0,-239,false,
0,20,505,277,0,17,false,
0,21,377,586,0,-248,false,
0,22,290,367,0,82,true,0
0,23,37,528,0,-101,false,
0,24,449,295,0,-84,false,
0,25,379,741,0,-151,false,
0,26,405,641,0,-7,false,
0,27,386,719,0,-174,false,
0,28,340,200,0,62,false,
0,29,583,614,0,73,false,
0,30,559,604,0,-49,false,
0,31,412,319,0,83,true,0
0,32,657,429,0,-110,false,
0,33,381,372,0,-162,true,0
0,34,257,407,0,-218,false,
0,35,453,337,0,46,true,0
0,36,177,134,0,-100,false,
0,37,642,597,0,60,false,
0,38,614,187,0,-17,false,
0,39,507,59,0,-33,false,
0,40,15,567,0,-96,false,
0,41,82,473,0,-180,false,
0,42,50,123,0,-214,false,
0,43,122,204,0,80,false,
0,44,340,237,0,14,false,
0,45,13,291,0,-261,false,
0,46,137,84,0,-242,false,
0,47,386,154,0,-54,false,
0,48,609,13,0,52,false,
0,49,114,540,0,-96,false,
1,0,642,580,0,-138,false,
1,1,371,346,0,-182,true,0
1,2,586,63,0,35,false,
1,3,636,326,0,-100,false,
1,4,542,163,0,-4,false,
1,5,685,20,0,-70,false,
1,6,415,706,0,-99,false,
1,7,156,323,0,-227,false,
1,8,175,330,0,-100,false,
1,9,166,173,0,-268,false,
1,10,346,226,0,-169,false,
1,11,637,419,0,-98,false,
1,12,134,737,0,39,false,
1,13,96,243,0,-40,false,
1,14,532,693,0,10,false,
1,15,615,507,0,-242,false,
1,16,438,670,0,-199,false,
1,17,384,434,0,-35,true,0
1,18,191,600,0,-102,false,
1,19,122,416,0,-239,false,
1,20,503,272,0,17,false,
1,21,373,587,0,-248,false,
1,22,286,366,0,82,false,
1,23,41,529,0,-101,false,
1,24,454,294,0,-84,false,
1,25,381,744,0,-151,false,
1,26,406,636,0,-7,false,
1,27,386,723,0,-174,false,
1,28,336,198,0,62,false,
1,29,579,613,0,73,false,
1,30,562,601,0,-49,false,
1,31,408,318,0,83,true,0
1,32,661,431,0,-110,false,
1,33,383,377,0,-162,true,0
1,34,254,411,0,-218,false,
1,35,450,334,0,46,true,0
1,36,181,134,0,-100,false,
1,37,638,594,0,60,false,
1,38,615,183,0,-17,false,
1,39,510,55,0,-33,false,
1,40,20,568,0,-96,false,
1,41,82,478,0,-180,false,
1,42,47,127,0,-214,false,
1,43,117,203,0,80,false,
1,44,339,233,0,14,false,
1,45,9,291,0,-261,false,
1,46,133,86,0,-242,false,
1,47,390,152,0,-54,false,
1,48,606,10,0,52,false,
1,49,119,540,0,-96,false,
2,0,645,583,0,-138,false,
2,1,371,351,0,-182,true,0
2,2,584,59,0,35,false,
2,3,640,327,0,-100,false,
2,4,542,158,0,-4,false,
2,5,689,18,0,-70,false,
2,6,419,707,0,-99,false,
2,7,153,326,0,-227,false,
2,8,180,331,0,-100,false,
2,9,161,174,0,-268,false,
2,10,347,231,0,-169,false,
2,11,642,419,0,-98,false,
2,12,131,734,0,39,false,
2,13,99,239,0,-40,false,
2,14,531,689,0,10,false,
2,15,611,509,0,-242,false,
2,16,436,675,0,-199,false,
2,17,387,431,0,-35,true,0
2,18,195,601,0,-102,false,
2,19,118,419,0,-239,false,
2,20,502,268,0,17,false,
2,21,369,589,0,-248,false,
2,22,282,365,0,82,false,
2,23,46,530,0,-101,false,
2,24,458,294,0,-84,false,
2,25,383,748,0,-151,false,
2,26,406,632,0,-7,false,
2,27,387,728,0,-174,false,
2,28,332,196,0,62,false,
2,29,575,611,0,73,false,
2,30,566,598,0,-49,false,
2,31,403,317,0,83,true,0
2,32,665,432,0,-110,false,
2,33,384,381,0,-162,true,0
2,34,251,414,0,-218,false,
2,35,446,331,0,46,true,0
2,36,185,135,0,-100,false,
2,37,634,592,0,60,false,
2,38,616,179,0,-17,false,
2,39,512,51,0,-33,false,
2,40,24,568,0,-96,false,
2,41,82,482,0,-180,false,
2,42,45,131,0,-214,false,
2,43,113,202,0,80,false,
2,44,338,228,0,14,false,
2,45,4,292,0,-261,false,
2,46,129,88,0,-242,false,
2,47,393,149,0,-54,false,
2,48,602,7,0,52,false,
2,49,123,541,0,-96,false,
3,0,648,586,0,-138,false,
3,1,371,360,0,-182,true,0
3,2,581,56,0,35,false,
3,3,645,328,0,-100,false,
3,4,543,154,0,-4,false,
3,5,693,17,0,-70,false,
3,6,424,707,0,-99,false,
3,7,149,329,0,-227,false,
3,8,184,332,0,-100,false,
3,9,157,174,0,-268,false,
3,10,348,235,0,-169,false,
3,11,646,420,0,-98,false,
3,12,128,730,0,39,false,
3,13,102,236,0,-40,false,
3,14,530,685,0,10,false,
3,15,607,511,0,-242,false,
3,16,435,679,0,-199,false,
3,17,389,427,0,-35,true,0
3,18,200,602,0,-102,false,
3,19,114,421,0,-239,false,
3,20,501,264,0,17,false,
3,21,365,591,0,-248,false,
3,22,277,365,0,82,false,
3,23,50,531,0,-101,false,
3,24,463,293,0,-84,false,
3,25,385,752,0,-151,false,
3,26,407,627,0,-7,false,
3,27,387,732,0,-174,false,
3,28,328,194,0,62,false,
3,29,571,610,0,73,false,
