frame,id,x,y,image_index,angle,site,site_id
0,0,642,580,0,-138,false,
0,1,371,346,0,-182,true,0
0,2,586,63,0,35,false,
0,3,636,326,0,-100,false,
0,4,542,163,0,-4,false,
0,5,685,20,0,-70,false,
0,6,415,706,0,-99,false,
0,7,156,323,0,-227,false,
0,8,175,330,0,-100,false,
0,9,166,173,0,-268,false,
0,10,346,226,0,-169,false,
0,11,637,419,0,-98,false,
0,12,639,84,0,39,false,
0,13,537,541,0,-210,false,
0,14,325,619,0,-67,false,
0,15,223,433,0,29,false,
0,16,641,373,0,-48,false,
0,17,18,177,0,58,false,
0,18,313,121,0,-17,false,
0,19,519,503,0,72,false,
0,20,317,394,0,-225,true,0
0,21,392,286,0,-10,false,
0,22,13,33,0,-266,false,
0,23,735,436,0,17,false,
0,24,121,382,0,-232,false,
0,25,587,404,0,-84,false,
0,26,180,378,0,-40,false,
0,27,451,339,0,-73,true,0
0,28,410,727,0,-187,false,
0,29,597,616,0,-92,false,
0,30,562,601,0,-49,false,
0,31,403,317,0,83,true,0
0,32,661,431,0,-110,false,
0,33,384,381,0,-162,true,0
0,34,254,411,0,-218,false,
0,35,446,331,0,46,true,0
0,36,181,134,0,-100,false,
0,37,638,594,0,60,false,
0,38,615,183,0,-17,false,
0,39,510,55,0,-33,false,
0,40,20,568,0,-96,false,
0,41,82,478,0,-180,false,
0,42,47,127,0,-214,false,
0,43,117,203,0,80,false,
0,44,339,233,0,14,false,
0,45,9,291,0,-261,false,
0,46,133,86,0,-242,false,
0,47,390,152,0,-54,false,
0,48,606,10,0,52,false,
0,49,119,540,0,-96,false,
1,0,648,586,0,-138,false,
1,1,371,364,0,-182,true,0
1,2,581,56,0,35,false,
1,3,645,328,0,-100,false,
1,4,543,154,0,-4,false,
1,5,693,17,0,-70,false,
1,6,424,707,0,-99,false,
1,7,149,329,0,-227,false,
1,8,184,332,0,-100,false,
1,9,157,174,0,-268,false,
1,10,348,235,0,-169,false,
1,11,646,420,0,-98,false,
1,12,634,77,0,39,false,
1,13,532,549,0,-210,false,
1,14,333,616,0,-67,false,
1,15,219,425,0,29,false,
1,16,648,367,0,-48,false,
1,17,11,173,0,58,false,
1,18,316,113,0,-17,false,
1,19,510,500,0,72,false,
1,20,310,400,0,-225,true,0
1,21,394,277,0,-10,false,
1,22,4,34,0,-266,false,
1,23,732,428,0,17,false,
1,24,114,388,0,-232,false,
1,25,596,403,0,-84,false,
1,26,186,371,0,-40,false,
1,27,459,336,0,-73,false,
1,28,409,736,0,-187,false,
1,29,606,616,0,-92,false,
1,30,569,595,0,-49,false,
1,31,394,316,0,83,true,0
1,32,669,434,0,-110,false,
1,33,387,389,0,-162,true,0
1,34,248,418,0,-218,false,
1,35,440,325,0,46,true,0
1,36,190,136,0,-100,false,
1,37,630,590,0,60,false,
1,38,618,174,0,-17,false,
1,39,515,47,0,-33,false,
1,40,29,569,0,-96,false,
1,41,82,487,0,-180,false,
1,42,42,135,0,-214,false,
1,43,108,202,0,80,false,
1,44,337,224,0,14,false,
1,45,0,293,0,-261,false,
1,46,125,90,0,-242,false,
1,47,397,146,0,-54,false,
1,48,599,5,0,52,false,
1,49,128,541,0,-96,false,
2,0,654,593,0,-138,false,
2,1,370,373,0,-182,true,0
2,2,576,48,0,35,false,
2,3,653,329,0,-100,false,
2,4,543,145,0,-4,false,
2,5,701,14,0,-70,false,
2,6,433,709,0,-99,false,
2,7,143,335,0,-227,false,
2,8,193,333,0,-100,false,
2,9,148,174,0,-268,false,
2,10,350,244,0,-169,false,
2,11,655,421,0,-98,false,
2,12,628,70,0,39,false,
2,13,528,557,0,-210,false,
2,14,341,612,0,-67,false,
2,15,215,417,0,29,false,
2,16,655,361,0,-48,false,
2,17,3,168,0,58,false,
2,18,319,104,0,-17,false,
2,19,502,498,0,72,false,
2,20,304,407,0,-225,true,0
2,21,396,268,0,-10,false,
2,22,-5,34,0,-266,false,
2,23,730,419,0,17,false,
2,24,107,393,0,-232,false,
2,25,605,402,0,-84,false,
2,26,191,365,0,-40,false,
2,27,468,334,0,-73,false,
2,28,408,745,0,-187,false,
2,29,615,616,0,-92,false,
2,30,576,589,0,-49,false,
2,31,385,315,0,83,true,0
2,32,678,437,0,-110,false,
2,33,390,398,0,-162,true,0
2,34,243,425,0,-218,false,
2,35,434,318,0,46,true,0
2,36,199,138,0,-100,false,
2,37,622,585,0,60,false,
2,38,620,166,0,-17,false,
2,39,520,40,0,-33,false,
2,40,38,570,0,-96,false,
2,41,82,496,0,-180,false,
2,42,37,142,0,-214,false,
2,43,100,200,0,80,false,
2,44,335,215,0,14,false,
2,45,741,294,0,-261,false,
2,46,117,94,0,-242,false,
2,47,404,141,0,-54,false,
2,48,592,-1,0,52,false,
2,49,137,542,0,-96,false,
3,0,659,600,0,-138,false,
3,1,370,382,0,-182,true,0
3,2,571,41,0,35,false,
3,3,662,331,0,-100,false,
3,4,544,136,0,-4,false,
3,5,710,11,0,-70,false,
3,6,442,710,0,-99,false,
3,7,136,341,0,-227,false,
3,8,202,335,0,-100,false,
3,9,139,174,0,-268,false,
3,10,352,253,0,-169,false,
3,11,664,422,0,-98,false,
3,12,622,63,0,39,false,
3,13,523,565,0,-210,false,
3,14,350,609,0,-67,false,
3,15,210,409,0,29,false,
3,16,661,355,0,-48,false,
3,17,-5,163,0,58,false,
3,18,321,95,0,-17,false,
3,19,493,495,0,72,false,
3,20,297,413,0,-225,true,0
3,21,397,260,0,-10,false,
3,22,741,35,0,-266,false,
3,23,727,410,0,17,false,
3,24,100,399,0,-232,false,
3,25,614,401,0,-84,false,
3,26,197,358,0,-40,false,
3,27,476,331,0,-73,false,
3,28,407,754,0,-187,false,
3,29,624,617,0,-92,false,
3,30,583,583,0,-49,false,
3,31,376,314,0,83,true,0
3,32,686,440,0,-110,false,
3,33,392,406,0,-162,true,0
3,34,237,432,0,-218,false,
3,35,427,312,0,46,true,0
3,36,208,139,0,-100,false,
3,37,615,581,0,60,false,
3,38,623,157,0,-17,false,
3,39,524,32,0,-33,false,
3,40,47,570,0,-96,false,
3,41,82,505,0,-180,false,
3,42,32,150,0,-214,false,
3,43,91,199,0,80,false,
3,44,332,207,0,14,false,
3,45,732,296,0,-261,false,
3,46,109,99,0,-242,false,
3,47,412,136,0,-54,false,
3,48,584,744,0,52,false,
3,49,146,543,0,-96,false,
4,0,665,606,0,-138,false,
4,1,370,391,0,-182,true,0
4,2,565,34,0,35,false,
4,3,671,333,0,-100,false,
4,4,545,127,0,-4,false,
4,5,718,8,0,-70,false,
4,6,450,712,0,-99,false,
4,7,129,347,0,-227,false,
4,8,211,337,0,-100,false,
4,9,130,174,0,-268,false,
4,10,353,261,0,-169,false,
4,11,673,423,0,-98,false,
4,12,617,56,0,39,false,
4,13,519,572,0,-210,false,
4,14,358,605,0,-67,false,
4,15,206,401,0,29,false,
4,16,668,349,0,-48,false,
4,17,742,158,0,58,false,
4,18,324,87,0,-17,false,
4,19,484,492,0,72,false,
4,20,291,420,0,-225,false,
4,21,399,251,0,-10,false,
4,22,732,36,0,-266,false,
4,23,724,402,0,17,false,
4,24,92,405,0,-232,false,
4,25,623,400,0,-84,false,
4,26,203,351,0,-40,false,
4,27,485,328,0,-73,false,
4,28,406,9,0,-187,false,
4,29,633,617,0,-92,false,
4,30,589,577,0,-49,false,
4,31,367,313,0,83,true,0
4,32,695,443,0,-110,false,
4,33,395,415,0,-162,true,0
4,34,232,439,0,-218,false,
4,35,421,306,0,46,true,0
4,36,217,141,0,-100,false,
4,37,607,576,0,60,false,
4,38,625,148,0,-17,false,
4,39,529,25,0,-33,false,
4,40,56,571,0,-96,false,
4,41,82,514,0,-180,false,
4,42,27,157,0,-214,false,
4,43,82,197,0,80,false,
4,44,330,198,0,14,false,
4,45,723,297,0,-261,false,
4,46,101,103,0,-242,false,
4,47,419,130,0,-54,false,
4,48,577,739,0,52,false,
4,49,155,544,0,-96,false,
5,0,671,613,0,-138,false,
5,1,370,400,0,-182,true,0
5,2,560,26,0,35,false,
5,3,680,334,0,-100,false,
5,4,545,118,0,-4,false,
5,5,727,5,0,-70,false,
5,6,459,713,0,-99,false,
5,7,123,353,0,-227,false,
5,8,219,338,0,-100,false,
5,9,121,175,0,-268,false,
5,10,355,270,0,-169,false,
5,11,682,425,0,-98,false,
5,12,611,49,0,39,false,
5,13,514,580,0,-210,false,
5,14,366,602,0,-67,false,
5,15,202,393,0,29,false,
5,16,675,343,0,-48,false,
5,17,735,153,0,58,false,
5,18,327,78,0,-17,false,
5,19,476,490,0,72,false,
5,20,285,426,0,-225,false,
5,21,400,242,0,-10,false,
5,22,723,36,0,-266,false,
5,23,722,393,0,17,false,
5,24,85,410,0,-232,false,
5,25,632,399,0,-84,false,
5,26,209,344,0,-40,false,
5,27,494,326,0,-73,false,
5,28,404,18,0,-187,false,
5,29,642,617,0,-92,false,
5,30,596,571,0,-49,false,
5,31,367,313,0,83,true,0
5,32,703,446,0,-110,false,
5,33,398,424,0,-162,true,0
5,34,226,446,0,-218,false,
5,35,414,299,0,46,true,0
5,36,225,142,0,-100,false,
5,37,599,571,0,60,false,
5,38,628,140,0,-17,false,
5,39,534,17,0,-33,false,
5,40,65,572,0,-96,false,
5,41,82,523,0,-180,false,
5,42,22,164,0,-214,false,
5,43,73,195,0,80,false,
5,44,328,189,0,14,false,
5,45,714,299,0,-261,false,
5,46,94,107,0,-242,false,
5,47,426,125,0,-54,false,
5,48,570,733,0,52,false,
5,49,164,545,0,-96,false,
6,0,677,620,0,-138,false,
6,1,369,409,0,-182,true,0
6,2,555,19,0,35,false,
6,3,689,336,0,-100,false,
6,4,546,109,0,-4,false,
6,5,735,2,0,-70,false,
6,6,468,714,0,-99,false,
6,7,116,359,0,-227,false,
6,8,228,340,0,-100,false,
6,9,112,175,0,-268,false,
6,10,357,279,0,-169,false,
6,11,691,426,0,-98,false,
6,12,606,42,0,39,false,
6,13,510,588,0,-210,false,
6,14,375,598,0,-67,false,
6,15,197,385,0,29,false,
6,16,681,337,0,-48,false,
6,17,727,149,0,58,false,
6,18,329,70,0,-17,false,
6,19,467,487,0,72,false,
6,20,278,432,0,-225,false,
6,21,402,233,0,-10,false,
6,22,714,37,0,-266,false,
6,23,719,385,0,17,false,
6,24,78,416,0,-232,false,
6,25,640,398,0,-84,false,
6,26,214,337,0,-40,false,
6,27,502,323,0,-73,false,
6,28,403,27,0,-187,false,
6,29,651,618,0,-92,false,
6,30,603,566,0,-49,false,
6,31,367,313,0,83,true,0
6,32,712,449,0,-110,false,
6,33,401,432,0,-162,true,0
6,34,220,453,0,-218,false,
6,35,408,293,0,46,true,0
6,36,234,144,0,-100,false,
6,37,591,567,0,60,false,
6,38,631,131,0,-17,false,
6,39,539,10,0,-33,false,
6,40,74,573,0,-96,false,
6,41,82,532,0,-180,false,
6,42,17,172,0,-214,false,
6,43,64,194,0,80,false,
6,44,326,180,0,14,false,
6,45,706,300,0,-261,false,
6,46,86,112,0,-242,false,
6,47,434,120,0,-54,false,
6,48,563,728,0,52,false,
6,49,172,546,0,-96,false,
7,0,683,627,0,-138,false,
7,1,369,418,0,-182,true,0
7,2,550,12,0,35,false,
7,3,698,337,0,-100,false,
7,4,547,100,0,-4,false,
7,5,744,-1,0,-70,false,
7,6,477,716,0,-99,false,
7,7,110,365,0,-227,false,
7,8,237,341,0,-100,false,
7,9,103,175,0,-268,false,
7,10,360,297,0,-169,true,0
7,11,700,427,0,-98,false,
7,12,600,35,0,39,false,
7,13,505,596,0,-210,false,
7,14,383,595,0,-67,false,
7,15,193,378,0,29,false,
7,16,688,330,0,-48,false,
7,17,719,144,0,58,false,
7,18,332,61,0,-17,false,
7,19,459,484,0,72,false,
7,20,272,439,0,-225,false,
7,21,404,224,0,-10,false,
7,22,705,37,0,-266,false,
7,23,717,376,0,17,false,
7,24,71,421,0,-232,false,
7,25,649,397,0,-84,false,
7,26,220,330,0,-40,false,
7,27,511,321,0,-73,false,
7,28,402,36,0,-187,false,
7,29,660,618,0,-92,false,
7,30,610,560,0,-49,false,
7,31,367,313,0,83,true,0
7,32,720,452,0,-110,false,
7,33,404,441,0,-162,true,0
7,34,215,460,0,-218,false,
7,35,402,287,0,46,false,
7,36,243,145,0,-100,false,
7,37,584,562,0,60,false,
7,38,633,123,0,-17,false,
7,39,544,2,0,-33,false,
