frame,pred_count,prey_count,total count
0,20,45,65
1,21,44,65
2,21,44,65
3,21,44,65
4,22,43,65
5,22,43,65
6,22,43,65
7,23,42,65
8,23,42,65
9,23,42,65
10,23,42,65
11,23,42,65
12,23,43,66
13,23,43,66
14,23,43,66
15,23,43,66
16,23,43,66
17,23,43,66
18,23,43,66
19,23,43,66
20,23,43,66
21,23,43,66
22,23,42,65
23,23,42,65
24,23,42,65
25,23,42,65
26,23,42,65
27,23,43,66
28,23,43,66
29,23,43,66
30,23,43,66
31,23,43,66
32,23,43,66
33,23,43,66
34,23,43,66
35,23,43,66
36,23,43,66
37,23,43,66
38,23,43,66
39,23,44,67
40,23,44,67
41,23,44,67
42,23,44,67
43,23,44,67
44,23,44,67
45,23,44,67
46,23,44,67
47,23,44,67
48,23,44,67
49,23,44,67
50,23,44,67
51,23,44,67
52,23,44,67
53,23,44,67
54,24,43,67
55,24,44,68
56,24,44,68
57,24,44,68
58,24,44,68
59,24,44,68
60,24,44,68
61,24,44,68
62,24,44,68
63,24,44,68
64,24,44,68
65,24,44,68
66,24,44,68
67,24,44,68
68,24,44,68
69,24,44,68
70,24,44,68
71,25,43,68
72,25,43,68
73,25,43,68
74,25,43,68
75,25,43,68
76,25,43,68
77,25,43,68
78,25,43,68
79,25,43,68
80,25,43,68
81,26,42,68
82,26,42,68
83,26,42,68
84,26,42,68
85,26,42,68
86,26,42,68
87,26,42,68
88,26,42,68
89,26,42,68
90,27,42,69
91,27,43,70
92,27,43,70
93,27,43,70
94,27,43,70
95,27,42,69
96,27,42,69
97,27,42,69
98,27,42,69
99,27,42,69
100,27,42,69
101,26,42,68
102,25,43,68
103,25,43,68
104,25,43,68
105,25,43,68
106,24,43,67
107,24,43,67
108,24,43,67
109,24,43,67
110,24,43,67
111,24,42,66
112,24,43,67
113,24,44,68
114,24,44,68
115,24,44,68
116,24,44,68
117,24,44,68
118,24,44,68
119,24,43,67
120,24,43,67
121,24,43,67
122,24,42,66
123,24,42,66
124,24,42,66
125,24,42,66
126,24,42,66
127,24,42,66
128,25,41,66
129,25,41,66
130,25,41,66
131,25,41,66
132,25,41,66
133,25,41,66
134,26,40,66
135,26,40,66
136,26,40,66
137,26,40,66
138,26,41,67
139,26,41,67
140,26,41,67
141,26,41,67
142,26,41,67
143,26,41,67
144,26,42,68
145,26,42,68
146,26,42,68
147,26,42,68
148,26,42,68
149,26,42,68
150,26,42,68
151,26,42,68
152,26,42,68
153,26,42,68
154,26,42,68
155,26,42,68
156,26,42,68
157,26,43,69
158,26,44,70
159,26,44,70
160,26,44,70
161,26,44,70
162,26,44,70
163,26,44,70
164,26,44,70
165,26,45,71
166,26,46,72
167,26,46,72
168,26,46,72
169,26,46,72
170,26,46,72
171,26,46,72
172,26,46,72
173,25,46,71
174,25,46,71
175,25,46,71
176,25,46,71
177,25,46,71
178,25,46,71
179,25,46,71
180,25,45,70
181,25,45,70
182,25,45,70
183,25,45,70
184,25,45,70
185,25,45,70
186,25,45,70
187,25,47,72
188,25,47,72
189,26,46,72
190,26,46,72
191,26,46,72
192,25,46,71
193,25,46,71
194,25,46,71
195,25,46,71
196,25,46,71
197,25,46,71
198,25,46,71
199,25,46,71
200,25,46,71
201,25,46,71
202,25,46,71
203,26,45,71
204,26,45,71
205,26,44,70
206,27,43,70
207,27,43,70
208,27,42,69
209,27,41,68
210,27,43,70
211,28,42,70
212,29,41,70
213,31,40,71
214,31,40,71
215,31,40,71
216,31,41,72
217,31,41,72
218,31,41,72
219,31,41,72
220,31,41,72
221,31,41,72
222,31,41,72
223,31,42,73
224,31,42,73
225,31,42,73
226,31,42,73
227,31,42,73
228,31,42,73
229,31,42,73
230,30,43,73
231,30,44,74
232,30,44,74
233,30,44,74
234,30,45,75
235,30,45,75
236,30,45,75
237,30,46,76
238,30,46,76
239,30,46,76
240,30,46,76
241,31,45,76
242,31,45,76
243,31,44,75
244,31,44,75
245,31,44,75
246,31,44,75
247,31,44,75
248,31,44,75
249,31,44,75
250,31,44,75
251,31,44,75
252,31,44,75
253,31,44,75
254,31,44,75
255,31,44,75
256,31,44,75
257,31,44,75
258,31,44,75
259,32,43,75
260,33,42,75
261,33,42,75
262,33,42,75
263,33,42,75
264,34,41,75
265,34,41,75
266,34,41,75
267,34,41,75
268,34,41,75
269,34,41,75
270,34,41,75
271,34,40,74
272,34,41,75
273,34,40,74
274,34,40,74
275,34,41,75
276,36,39,75
277,36,40,76
278,36,40,76
279,36,41,77
280,36,42,78
281,36,42,78
282,36,43,79
283,36,43,79
284,36,43,79
285,36,44,80
286,36,43,79
287,36,43,79
288,36,43,79
289,36,43,79
290,36,43,79
291,36,43,79
292,36,43,79
293,36,43,79
294,36,43,79
295,36,43,79
296,36,43,79
297,36,43,79
298,36,43,79
299,36,43,79
300,36,44,80
301,36,44,80
302,36,44,80
303,36,44,80
304,36,44,80
305,36,45,81
306,36,45,81
307,36,45,81
308,36,45,81
309,36,45,81
310,36,45,81
311,36,45,81
312,35,45,80
313,34,45,79
314,34,45,79
315,33,45,78
316,33,45,78
317,33,45,78
318,33,45,78
319,33,46,79
320,33,46,79
321,33,46,79
322,33,46,79
323,33,46,79
324,33,46,79
325,33,46,79
326,33,47,80
327,33,48,81
328,33,48,81
329,33,47,80
330,33,47,80
331,33,47,80
332,33,47,80
333,33,47,80
334,33,47,80
335,33,46,79
336,33,46,79
337,33,46,79
338,33,46,79
339,33,46,79
340,33,46,79
341,33,46,79
342,33,46,79
343,33,45,78
344,33,45,78
345,33,45,78
346,33,44,77
347,33,44,77
348,33,44,77
349,33,44,77
350,33,44,77
351,36,41,77
352,37,40,77
353,37,40,77
354,37,41,78
355,37,41,78
356,37,41,78
357,37,40,77
358,37,40,77
359,38,39,77
360,37,39,76
361,37,39,76
362,37,39,76
363,37,39,76
364,37,40,77
365,37,40,77
366,37,40,77
367,37,40,77
368,37,40,77
369,38,39,77
370,38,39,77
371,38,39,77
372,38,39,77
373,39,38,77
374,39,38,77
375,39,38,77
376,39,39,78
377,39,39,78
378,39,39,78
379,39,40,79
380,39,40,79
381,39,40,79
382,39,40,79
383,39,40,79
384,39,39,78
385,39,39,78
386,39,39,78
387,39,39,78
388,39,39,78
389,39,39,78
390,39,39,78
391,40,37,77
392,40,37,77
393,40,37,77
394,40,37,77
395,40,37,77
396,40,37,77
397,41,36,77
398,41,35,76
399,42,34,76
400,42,34,76
401,42,34,76
402,31,34,65
403,30,34,64
404,30,34,64
405,30,32,62
406,30,32,62
407,30,32,62
408,30,32,62
409,30,31,61
410,30,31,61
411,30,31,61
412,30,32,62
413,30,32,62
414,30,32,62
415,30,32,62
416,30,32,62
417,30,32,62
