frame,id,x,y,image_index,angle,agent
0,0,509,385,0,-120,0
0,1,571,479,0,-170,0
0,2,708,188,0,28,0
0,3,453,694,0,90,0
0,4,596,738,0,-195,0
0,5,727,497,0,-69,0
0,6,321,576,0,-243,0
0,7,523,223,0,29,0
0,8,401,382,0,-31,0
0,9,64,599,0,-10,0
0,10,702,589,0,1,0
0,11,724,585,0,-99,0
0,12,545,325,0,-31,0
0,13,311,497,0,-205,0
0,14,174,602,0,-112,0
0,15,38,303,0,-109,0
0,16,125,361,0,-75,0
0,17,425,622,0,-179,0
0,18,424,631,0,-182,0
0,19,209,694,0,-185,0
0,20,642,523,0,-70,1
0,21,362,481,0,-196,1
0,22,645,32,0,76,1
0,23,617,104,0,5,1
0,24,168,403,0,79,1
0,25,478,702,0,-81,1
0,26,425,405,0,-185,1
0,27,620,532,0,57,1
0,28,511,509,0,-239,1
0,29,680,679,0,-74,1
0,30,482,679,0,16,1
0,31,123,115,0,-87,1
0,32,153,605,0,4,1
0,33,560,592,0,-208,1
0,34,213,496,0,-99,1
0,35,740,36,0,70,1
0,36,82,438,0,-244,1
0,37,652,341,0,-176,1
0,38,630,560,0,-248,1
0,39,439,712,0,-229,1
0,40,162,340,0,-268,1
0,41,90,675,0,-137,1
0,42,57,55,0,85,1
0,43,555,42,0,-40,1
0,44,143,604,0,-109,1
0,45,193,8,0,-269,1
0,46,742,438,0,-12,1
0,47,688,265,0,-217,1
0,48,57,157,0,-137,1
0,49,445,340,0,54,1
0,50,629,252,0,-15,1
0,51,343,313,0,-50,1
0,52,128,73,0,24,1
0,53,26,213,0,1,1
0,54,43,576,0,-50,1
0,55,592,247,0,-31,1
0,56,283,141,0,-61,1
0,57,473,699,0,15,1
0,58,488,361,0,-45,1
0,59,239,271,0,-154,1
0,60,644,294,0,85,1
0,61,176,445,0,-249,1
0,62,178,565,0,-261,1
0,63,318,113,0,-140,1
0,64,229,611,0,-187,1
1,0,512,386,0,-118,0
1,1,571,482,0,-182,0
1,2,706,185,0,28,0
1,3,450,694,0,75,0
1,4,597,741,0,-167,0
1,5,730,495,0,-60,0
1,6,318,577,0,-243,0
1,7,521,221,0,29,0
1,8,402,379,0,-11,0
1,9,65,596,0,-10,0
1,10,701,586,0,1,0
1,11,727,586,0,-99,0
1,12,546,323,0,-31,0
1,13,310,500,0,-205,0
1,14,177,603,0,-112,0
1,15,41,304,0,-109,0
1,16,128,360,0,-75,0
1,17,425,625,0,-179,0
1,18,424,634,0,-182,0
1,19,208,697,0,-185,0
1,20,645,522,0,-70,1
1,21,362,484,0,-196,1
1,22,642,32,0,76,1
1,23,617,101,0,5,1
1,24,165,403,0,79,1
1,25,481,702,0,-81,1
1,26,424,408,0,-200,1
1,27,617,532,0,82,1
1,28,508,511,0,-239,1
1,29,683,678,0,-74,1
1,30,481,676,0,18,1
1,31,126,114,0,-73,1
1,32,152,602,0,4,1
1,33,558,595,1,-208,1
1,34,216,496,0,-99,1
1,35,737,35,0,70,1
1,36,80,439,0,-244,1
1,37,652,344,0,-176,1
1,38,627,561,0,-248,1
1,39,436,713,0,-258,1
1,40,159,340,0,-268,1
1,41,91,678,0,-158,1
1,42,54,55,0,85,1
1,43,557,40,0,-48,1
1,44,146,604,0,-101,1
1,45,190,8,0,-269,1
1,46,743,435,0,-12,1
1,47,686,268,0,-217,1
1,48,59,159,0,-137,1
1,49,443,338,0,54,1
1,50,630,249,0,-15,1
1,51,344,311,0,-27,1
1,52,127,70,0,24,1
1,53,26,210,0,1,1
1,54,46,574,0,-50,1
1,55,594,244,0,-31,1
1,56,286,140,0,-61,1
1,57,472,696,0,15,1
1,58,490,359,1,-45,1
1,59,240,274,0,-154,1
1,60,641,294,0,85,1
1,61,173,446,0,-249,1
1,62,175,566,1,-261,1
1,63,320,115,0,-140,1
1,64,229,614,0,-187,1
2,0,514,388,0,-118,0
2,1,571,485,0,-182,0
2,2,705,183,0,28,0
2,3,447,693,0,74,0
2,4,597,744,0,-167,0
2,5,732,494,0,-60,0
2,6,316,579,0,-243,0
2,7,520,218,0,29,0
2,8,403,376,0,-11,0
2,9,66,593,0,-10,0
2,10,701,583,0,1,0
2,11,730,586,0,-99,0
2,12,549,321,0,-50,0
2,13,308,502,0,-205,0
2,14,180,604,0,-112,0
2,15,44,305,0,-109,0
2,16,131,359,0,-75,0
2,17,425,628,0,-173,0
2,18,424,637,0,-182,0
2,19,208,700,0,-189,0
2,20,647,521,0,-70,1
2,21,361,487,0,-196,1
2,22,640,30,0,47,1
2,23,617,98,0,5,1
2,24,162,402,0,79,1
2,25,484,701,0,-81,1
2,26,423,410,0,-200,1
2,27,614,532,0,82,1
2,28,505,512,0,-239,1
2,29,685,677,0,-56,1
2,30,480,673,0,18,1
2,31,129,114,0,-73,1
2,32,152,599,0,4,1
2,33,557,597,1,-208,1
2,34,219,497,0,-99,1
2,35,735,34,0,70,1
2,36,77,441,0,-244,1
2,37,653,347,0,-176,1
2,38,625,562,0,-248,1
2,39,433,713,0,-258,1
2,40,156,340,0,-268,1
2,41,92,681,0,-158,1
2,42,51,55,0,85,1
2,43,559,38,0,-48,1
2,44,149,605,0,-105,1
2,45,187,8,0,88,1
2,46,743,432,0,-12,1
2,47,684,269,0,-244,1
2,48,62,161,0,-137,1
2,49,440,336,0,54,1
2,50,631,246,0,-15,1
2,51,346,308,0,-27,1
2,52,126,68,0,24,1
2,53,26,207,0,-1,1
2,54,48,572,0,-50,1
2,55,595,241,0,-31,1
2,56,289,138,0,-61,1
2,57,471,693,0,15,1
2,58,492,357,1,-45,1
2,59,242,276,0,-154,1
2,60,638,293,0,85,1
2,61,171,448,0,-229,1
2,62,173,565,1,69,1
2,63,322,118,0,-140,1
2,64,229,617,0,-187,1
3,0,517,389,0,-118,0
3,1,571,488,0,-182,0
3,2,704,180,0,28,0
3,3,444,692,0,74,0
3,4,598,747,0,-167,0
3,5,735,492,0,-60,0
3,6,313,580,0,-250,0
3,7,519,215,0,29,0
3,8,403,373,0,-11,0
3,9,66,591,0,-10,0
3,10,701,580,0,1,0
3,11,733,587,0,-99,0
3,12,551,319,0,-50,0
3,13,307,505,0,-205,0
3,14,183,605,0,-99,0
3,15,47,306,0,-109,0
3,16,134,359,0,-75,0
3,17,426,631,0,-173,0
3,18,425,640,0,-161,0
3,19,207,703,0,-189,0
3,20,650,520,0,-70,1
3,21,359,489,0,-215,1
