frame,id,x,y,image_index,angle,agent,prey consumed
0,0,380,627,0,-150,0,0
0,1,479,310,0,-213,0,0
0,2,572,360,0,-26,0,0
0,3,554,375,0,-127,0,0
0,4,118,273,0,-43,0,0
0,5,31,448,0,45,0,0
0,6,414,733,0,-68,0,1
0,7,50,238,0,-261,0,0
0,8,698,568,0,69,0,0
0,9,676,454,0,-66,0,0
0,10,133,133,0,-101,0,0
0,11,724,358,0,-44,0,0
0,12,94,513,0,47,0,0
0,13,210,432,0,29,0,0
0,14,404,316,0,-158,0,0
0,15,26,506,0,22,0,0
0,16,430,464,0,28,0,0
0,17,64,695,0,-202,0,0
0,18,365,437,0,4,0,0
0,19,260,182,0,-60,0,0
0,20,528,661,0,-188,1,0
0,21,122,683,0,-34,1,0
0,22,520,655,0,-231,1,0
0,23,290,620,0,14,1,0
0,24,653,428,0,-219,1,0
0,25,246,705,0,-8,1,0
0,26,34,382,0,-5,1,0
0,27,436,214,0,-203,1,0
0,28,683,354,0,-236,1,0
0,29,414,631,0,-157,1,0
0,30,174,165,0,-185,1,0
0,31,339,192,0,-95,1,0
0,32,228,188,0,-221,1,0
0,33,424,377,0,-167,1,0
0,34,385,592,0,-148,1,0
0,35,438,92,0,-210,1,0
0,36,503,473,0,32,1,0
0,37,59,502,0,-69,1,0
0,38,67,670,0,55,1,0
0,39,458,371,0,-185,1,0
0,40,278,557,0,-240,1,0
0,41,209,476,0,-106,1,0
0,42,632,92,0,-5,1,0
0,43,134,205,0,69,1,0
0,44,101,348,0,62,1,0
0,45,43,631,0,79,1,0
0,46,322,241,0,19,1,0
0,47,630,9,0,-88,1,0
0,48,281,710,0,-50,1,0
0,49,610,422,0,-202,1,0
0,50,413,719,0,-74,1,0
0,51,594,67,0,89,1,0
0,52,109,110,0,44,1,0
0,53,686,482,0,81,1,0
0,54,434,225,0,-107,1,0
0,55,596,143,0,-81,1,0
0,56,375,259,0,-35,1,0
0,57,195,617,0,-46,1,0
0,58,37,402,0,-164,1,0
0,59,179,691,0,-30,1,0
0,60,377,266,0,76,1,0
0,61,271,609,0,19,1,0
0,62,593,550,0,-165,1,0
0,63,477,745,0,-176,1,0
0,64,328,338,0,-61,1,0
1,0,382,630,0,-150,0,0
1,1,478,313,0,-188,0,0
1,2,573,358,0,-26,0,0
1,3,556,377,0,-127,0,0
1,4,120,270,0,-43,0,0
1,5,29,446,0,45,0,0
1,6,417,731,0,-68,0,0
1,7,47,238,0,-261,0,0
1,8,695,567,0,69,0,0
1,9,679,453,0,-66,0,0
1,10,136,133,0,-101,0,0
1,11,726,355,0,-44,0,0
1,12,92,510,0,47,0,0
1,13,210,429,0,4,0,0
1,14,405,319,0,-158,0,0
1,15,26,503,0,-1,0,0
1,16,428,462,0,28,0,0
1,17,64,698,0,-174,0,0
1,18,365,434,0,4,0,0
1,19,263,181,0,-55,0,0
1,20,528,664,0,-188,1,0
1,21,123,681,0,-34,1,0
1,22,518,657,0,-231,1,0
1,23,289,617,0,14,1,0
1,24,650,430,0,-232,1,0
1,25,246,703,0,-9,1,0
1,26,34,379,0,-5,1,0
1,27,434,217,0,-224,1,0
1,28,681,356,0,-236,1,0
1,29,415,634,0,-157,1,0
1,30,174,168,0,-185,1,0
1,31,342,192,0,-95,1,0
1,32,227,191,0,-199,1,0
1,33,425,380,0,-167,1,0
1,34,386,594,0,-148,1,0
1,35,436,95,0,-210,1,0
1,36,501,471,0,32,1,0
1,37,62,501,0,-69,1,0
1,38,65,669,0,55,1,0
1,39,458,374,0,-185,1,0
1,40,276,559,0,-221,1,0
1,41,212,477,0,-106,1,0
1,42,632,89,0,-5,1,0
1,43,131,204,0,69,1,0
1,44,98,346,0,62,1,0
1,45,40,631,0,79,1,0
1,46,322,238,0,5,1,0
1,47,633,9,0,-85,1,0
1,48,284,708,0,-50,1,0
1,49,609,425,0,-202,1,0
1,51,591,67,0,89,1,0
1,52,107,108,0,44,1,0
1,53,683,481,0,86,1,0
1,54,437,226,0,-107,1,0
1,55,599,142,0,-81,1,0
1,56,377,256,0,-35,1,0
1,57,197,615,0,-46,1,0
1,58,37,405,0,-164,1,0
1,59,180,688,0,-30,1,0
1,60,374,265,0,76,1,0
1,61,270,606,0,19,1,0
1,62,594,553,0,-165,1,0
1,63,478,748,0,-176,1,0
1,64,329,335,0,-33,1,0
2,0,383,633,0,-150,0,0
2,1,478,316,0,-188,0,0
2,2,574,355,0,-26,0,0
2,3,559,378,0,-101,0,0
2,4,122,268,0,-43,0,0
2,5,27,444,0,45,0,0
2,6,420,730,0,-68,0,0
2,7,44,238,0,-261,0,0
2,8,692,566,0,69,0,0
2,9,681,452,0,-66,0,0
2,10,139,134,0,-101,0,0
2,11,728,353,0,-44,0,0
2,12,91,508,0,29,0,0
2,13,209,426,0,4,0,0
2,14,406,321,0,-158,0,0
2,15,26,500,0,-1,0,0
2,16,427,459,0,28,0,0
2,17,64,701,0,-174,0,0
2,18,363,431,0,33,0,0
2,19,266,180,0,-74,0,0
2,20,527,667,0,-188,1,0
2,21,125,678,0,-34,1,0
2,22,516,660,0,-219,1,0
2,23,288,614,0,14,1,0
2,24,648,432,0,-232,1,0
