frame,id,x,y,image_index,angle,agent
0,0,645,524,0,-166,0
0,1,610,515,0,47,0
0,2,342,657,0,-75,0
0,3,514,322,0,45,0
0,4,493,686,0,46,0
0,5,501,316,0,-247,0
0,6,263,359,0,-43,0
0,7,727,678,0,-44,0
0,8,527,352,0,-217,0
0,9,557,625,0,-21,0
0,10,509,204,0,89,0
0,11,187,141,0,-175,0
0,12,706,311,0,0,0
0,13,703,562,0,15,0
0,14,568,81,0,-19,0
0,15,682,668,0,12,0
0,16,300,465,0,-161,0
0,17,164,588,0,-6,0
0,18,10,212,0,83,0
0,19,271,598,0,7,0
0,20,699,728,0,-139,1
0,21,361,715,0,-95,1
0,22,30,128,0,-36,1
0,23,286,216,0,60,1
0,24,468,592,0,-79,1
0,25,389,218,0,-196,1
0,26,553,340,0,-18,1
0,27,213,542,0,-77,1
0,28,93,383,0,-66,1
0,29,697,484,0,71,1
0,30,599,622,0,49,1
0,31,311,264,0,-144,1
0,32,250,507,0,-151,1
0,33,632,410,0,-244,1
0,34,514,214,0,-64,1
0,35,12,54,0,-59,1
0,36,171,129,0,-218,1
0,37,657,270,0,73,1
0,38,611,592,0,1,1
0,39,27,421,0,4,1
0,40,93,100,0,-210,1
0,41,712,254,0,-10,1
0,42,53,355,0,-188,1
0,43,211,746,0,-175,1
0,44,454,216,0,-33,1
0,45,579,163,0,-225,1
0,46,584,343,0,-188,1
0,47,711,455,0,-113,1
0,48,573,196,0,4,1
0,49,261,285,0,-51,1
0,50,546,578,0,-135,1
0,51,552,248,0,15,1
0,52,500,400,0,42,1
0,53,43,326,0,-250,1
0,54,602,585,0,-73,1
0,55,473,225,0,4,1
0,56,59,230,0,-54,1
0,57,381,464,0,-181,1
0,58,208,256,0,49,1
0,59,210,329,0,-47,1
0,60,518,314,0,-265,1
0,61,651,421,0,-164,1
0,62,92,108,0,-147,1
0,63,350,498,0,4,1
0,64,278,723,0,34,1
1,0,646,530,0,-166,0
1,1,606,511,0,47,0
1,2,348,655,0,-75,0
1,3,510,318,0,45,0
1,4,489,682,0,46,0
1,5,495,318,0,-247,0
1,6,267,355,0,-43,0
1,7,731,674,0,-44,0
1,8,523,357,0,-217,0
1,9,559,620,0,-21,0
1,10,503,204,0,89,0
1,11,189,147,0,-155,0
1,12,706,305,0,0,0
1,13,701,556,0,15,0
1,14,570,75,0,-19,0
1,15,680,662,0,12,0
1,16,302,470,0,-151,0
1,17,164,582,0,-4,0
1,18,4,212,0,83,0
1,19,270,592,0,7,0
1,20,702,732,0,-141,1
1,21,367,717,0,-113,1
1,22,33,123,0,-36,1
1,23,281,212,0,57,1
1,24,474,591,0,-79,1
1,25,388,224,0,-188,1
1,26,555,334,0,-18,1
1,27,219,541,0,-77,1
1,28,98,381,0,-66,1
1,29,691,483,0,80,1
1,30,595,618,0,44,1
1,31,314,268,0,-144,1
1,32,253,512,0,-151,1
1,33,627,413,0,-244,1
1,34,519,212,0,-64,1
1,35,17,51,0,-59,1
1,36,167,134,0,-218,1
1,37,651,268,0,73,1
1,38,611,586,0,1,1
1,39,29,415,0,-18,1
1,40,91,105,0,-199,1
1,41,714,249,0,-22,1
1,42,52,361,0,-188,1
1,43,211,752,0,-175,1
1,44,457,211,0,-33,1
1,45,575,167,0,-225,1
1,46,583,349,0,-188,1
1,47,717,457,0,-113,1
1,48,573,190,0,6,1
1,49,265,281,0,-51,1
1,50,550,582,0,-135,1
1,51,550,242,0,15,1
1,52,496,395,0,42,1
1,53,37,328,0,-250,1
1,54,608,586,0,-98,1
1,55,473,219,0,4,1
1,56,64,226,0,-54,1
1,57,381,470,0,-181,1
1,58,204,252,0,49,1
1,59,214,325,0,-47,1
1,60,512,314,0,-265,1
1,61,653,426,0,-164,1
1,62,95,113,0,-147,1
1,63,350,492,0,4,1
1,64,274,718,0,34,1
2,0,648,535,0,-160,0
2,1,601,507,0,47,0
2,2,354,654,0,-75,0
2,3,505,314,0,45,0
2,4,484,678,0,46,0
2,5,490,320,0,-247,0
2,6,271,351,0,-43,0
2,7,735,670,0,-44,0
2,8,519,362,0,-217,0
2,9,562,614,0,-21,0
2,10,497,204,0,89,0
2,11,192,152,0,-155,0
2,12,706,299,0,0,0
2,13,699,551,0,20,0
2,14,572,69,0,-19,0
2,15,679,656,0,12,0
2,16,305,475,0,-151,0
2,17,163,576,0,11,0
2,18,-2,211,0,83,0
2,19,271,586,0,-3,0
2,20,705,738,0,-157,1
2,21,372,720,0,-113,1
2,22,37,118,0,-36,1
2,23,276,209,0,57,1
2,24,480,590,0,-79,1
2,25,389,230,0,-172,1
2,26,556,328,0,-18,1
2,27,225,540,0,-77,1
2,28,103,377,0,-55,1
2,29,685,482,0,80,1
2,30,591,614,0,44,1
2,31,318,273,0,-144,1
2,32,256,518,0,-151,1
2,33,621,416,0,-244,1
2,34,524,209,0,-64,1
2,35,22,48,0,-59,1
2,36,164,139,0,-211,1
2,37,645,268,0,88,1
2,38,611,580,0,1,1
2,39,31,410,0,-18,1
2,40,87,109,0,-228,1
2,41,717,243,0,-22,1
2,42,51,366,0,-188,1
2,43,210,6,0,-197,1
2,44,461,206,0,-33,1
2,45,571,171,0,-225,1
2,46,582,355,0,-188,1
2,47,722,460,0,-113,1
2,48,574,184,0,-7,1
2,49,271,279,0,-70,1
2,50,554,587,0,-135,1
2,51,548,236,0,15,1
2,52,491,392,0,58,1
2,53,31,330,0,-250,1
2,54,614,587,0,-98,1
2,55,472,213,0,4,1
2,56,68,223,0,-54,1
2,57,380,476,0,-181,1
2,58,199,248,0,49,1
2,59,219,321,0,-47,1
2,61,654,432,0,-164,1
2,62,98,118,0,-154,1
2,63,350,486,0,4,1
2,64,272,713,0,24,1
2,65,505,314,0,45,0
3,0,651,541,0,-160,0
3,1,597,503,0,48,0
3,2,360,653,0,-79,0
3,3,501,310,0,45,0
3,4,480,674,0,46,0
3,5,484,323,0,-247,0
3,6,276,347,0,-57,0
3,7,739,665,0,-44,0
3,8,516,367,0,-217,0
3,9,564,608,0,-21,0
3,10,491,204,0,89,0
3,11,195,158,0,-155,0
3,12,706,293,0,0,0
3,13,697,545,0,20,0
3,14,574,64,0,-19,0
3,15,678,650,0,12,0
3,16,308,481,0,-151,0
3,17,159,571,0,34,0
3,18,744,210,0,83,0
3,19,271,580,0,-3,0
3,20,707,743,0,-157,1
3,21,376,724,0,-136,1
3,22,40,113,0,-36,1
3,23,270,208,0,80,1
3,24,486,589,0,-79,1
3,25,390,235,0,-172,1
3,26,558,323,0,-18,1
3,27,231,538,0,-77,1
3,28,107,372,0,-40,1
3,29,680,481,0,80,1
3,30,589,608,0,16,1
3,31,321,278,0,-144,1
3,32,259,523,0,-151,1
3,33,616,418,0,-244,1
3,34,528,204,0,-35,1
3,35,28,47,0,-83,1
3,36,164,145,0,-183,1
3,37,639,268,0,88,1
3,38,611,574,0,1,1
3,39,33,404,0,-18,1
3,40,82,113,0,-228,1
3,41,719,237,0,-22,1
3,42,50,372,0,-188,1
3,43,208,11,0,-197,1
3,44,464,201,0,-33,1
3,45,566,175,0,-225,1
3,46,581,361,0,-188,1
3,47,728,462,0,-113,1
3,48,574,178,0,-7,1
3,49,276,277,0,-70,1
3,50,558,591,0,-135,1
3,51,547,230,0,15,1
3,52,486,389,0,58,1
3,53,25,330,0,-265,1
3,54,620,588,0,-98,1
3,55,472,207,0,4,1
3,56,73,219,0,-54,1
3,57,382,482,0,-169,1
3,58,196,243,0,29,1
3,59,222,316,0,-28,1
3,61,656,438,0,-164,1
3,62,100,124,0,-154,1
3,63,349,480,0,4,1
3,64,270,707,0,24,1
3,65,501,310,0,45,0
3,66,707,743,0,-157,1
4,0,650,547,0,-184,0
4,1,593,498,0,44,0
4,2,366,651,0,-79,0
4,3,497,305,0,45,0
4,4,476,670,0,46,0
4,5,479,325,0,-247,0
4,6,281,344,0,-57,0
4,7,744,661,0,-44,0
4,8,512,371,0,-217,0
4,9,566,603,0,-21,0
4,10,486,207,0,-243,0
4,11,197,163,0,-155,0
4,12,706,287,0,0,0
4,13,695,539,0,20,0
4,14,576,58,0,-19,0
4,15,677,645,0,12,0
4,16,311,486,0,-151,0
4,17,156,566,0,34,0
4,18,738,210,0,87,0
4,19,271,574,0,-3,0
4,20,709,749,0,-157,1
4,21,380,728,0,-136,1
4,22,44,108,0,-36,1
4,23,265,205,0,60,1
4,24,492,588,0,-79,1
4,25,391,241,0,-172,1
4,26,560,317,0,-18,1
4,27,237,537,0,-77,1
4,28,111,368,0,-40,1
4,29,675,477,0,53,1
4,30,588,602,0,16,1
4,31,325,283,0,-144,1
4,32,262,528,0,-151,1
4,33,611,421,0,-244,1
4,34,531,199,0,-35,1
4,35,34,47,0,-83,1
4,36,164,151,0,-183,1
4,37,633,267,0,88,1
4,38,611,568,0,1,1
4,39,34,398,0,-18,1
4,40,78,117,0,-228,1
4,41,718,231,0,6,1
4,42,49,378,0,-188,1
4,43,206,17,0,-197,1
4,44,467,196,0,-33,1
4,45,564,181,0,-207,1
4,46,582,367,0,-174,1
4,47,733,464,0,-113,1
4,48,575,172,0,-7,1
4,49,282,275,0,-70,1
4,50,563,595,0,-135,1
4,51,545,225,0,15,1
4,52,481,386,0,58,1
4,53,19,331,0,-265,1
4,54,626,587,0,-87,1
4,55,471,201,0,4,1
4,56,78,216,0,-54,1
4,57,385,487,0,-141,1
4,58,193,238,0,29,1
4,59,224,310,0,-28,1
4,61,656,444,0,-176,1
4,62,103,129,0,-154,1
4,63,347,475,0,20,1
4,64,265,703,0,52,1
4,65,497,305,0,45,0
4,66,709,749,0,-157,1
5,0,650,553,0,-184,0
5,1,588,495,0,53,0
