frame,id,x,y,image_index,angle,agent
0,0,637,575,0,-138,0
0,1,371,340,0,-182,0
0,2,590,68,0,35,0
0,3,629,325,0,-100,0
0,4,541,169,0,-4,0
0,5,679,22,0,-70,0
0,6,409,705,0,-109,0
0,7,160,318,0,-227,0
0,8,169,329,0,-100,0
0,9,172,173,0,-268,0
0,10,345,220,0,-169,1
0,11,631,418,0,-98,1
0,12,138,742,0,39,1
0,13,92,247,0,-40,1
0,14,533,700,0,10,1
0,15,620,504,0,-242,1
0,16,440,664,0,-199,1
0,17,380,440,0,-35,1
0,18,185,598,0,-83,1
0,19,127,413,0,-239,1
0,20,505,278,0,17,1
0,21,379,585,0,-248,1
0,22,292,367,0,82,1
0,23,35,528,0,-101,1
0,24,448,295,0,-84,1
0,25,378,739,0,-154,1
0,26,404,643,0,20,1
0,27,385,717,0,-196,1
0,28,342,201,0,62,1
0,29,585,615,0,73,1
0,30,557,605,0,-49,1
0,31,418,319,0,83,1
0,32,655,428,0,-96,1
0,33,379,366,0,-162,1
0,34,258,406,0,-218,1
0,35,457,342,0,46,1
0,36,175,133,0,-100,1
0,37,643,597,0,60,1
0,38,614,189,0,-40,1
0,39,506,60,0,-17,1
0,40,14,567,0,-96,1
0,41,83,471,0,-160,1
0,42,51,122,0,-214,1
0,43,124,203,0,55,1
0,44,340,239,0,14,1
0,45,15,290,0,-261,1
0,46,139,83,0,-242,1
0,47,385,156,0,-63,1
0,48,610,15,0,81,1
0,49,113,539,0,-96,1
0,50,530,511,0,-148,1
0,51,163,731,0,74,1
0,52,388,165,0,-17,1
0,53,295,430,0,37,1
0,54,472,47,0,-206,1
0,55,725,659,0,-197,1
0,56,643,235,0,-200,1
0,57,560,311,0,-68,1
0,58,6,662,0,-181,1
0,59,617,722,0,-90,1
1,0,639,577,0,-138,0
1,1,371,343,0,-182,0
1,2,588,66,0,35,0
1,3,632,326,0,-100,0
1,4,542,166,0,-4,0
1,5,681,21,0,-70,0
1,6,411,706,0,-109,0
1,7,158,320,0,-227,0
1,8,172,329,0,-100,0
1,9,169,173,0,-268,0
1,10,346,223,0,-169,1
1,11,633,418,0,-106,1
1,12,136,740,0,39,1
1,13,94,245,0,-40,1
1,14,532,697,0,10,1
1,15,618,505,0,-242,1
1,16,439,667,0,-199,1
1,17,382,437,0,-35,1
1,18,187,597,0,-83,1
1,19,125,414,0,-240,1
1,20,504,276,0,17,1
1,21,376,586,0,-248,1
1,22,290,367,0,82,1
1,23,38,529,0,-101,1
1,24,450,295,0,-84,1
1,25,379,741,0,-154,1
1,26,403,640,0,20,1
1,27,384,720,0,-196,1
1,28,340,199,0,62,1
1,29,583,614,0,73,1
1,30,559,603,0,-49,1
1,31,416,319,0,83,1
1,32,658,428,0,-96,1
1,33,380,369,0,-162,1
1,34,256,408,0,-218,1
1,35,455,340,0,46,1
1,36,178,134,0,-100,1
1,37,641,596,0,60,1
1,38,615,187,0,-26,1
1,39,506,57,0,-17,1
1,40,16,567,0,-96,1
1,41,84,474,0,-160,1
1,42,49,124,0,-214,1
1,43,122,202,0,55,1
1,44,340,236,0,14,1
1,45,12,291,0,-261,1
1,46,136,84,0,-242,1
1,47,387,154,0,-63,1
1,48,607,15,0,81,1
1,49,115,540,0,-96,1
1,50,532,512,0,-122,1
1,51,160,730,0,74,1
1,52,390,163,0,-33,1
1,53,293,428,0,37,1
1,54,471,49,0,-206,1
1,55,724,662,0,-197,1
1,56,642,238,0,-200,1
1,57,563,310,0,-68,1
1,58,6,664,0,-181,1
1,59,620,721,0,-76,1
2,0,641,579,0,-138,0
2,1,371,345,0,-182,0
2,2,587,64,0,35,0
2,3,635,326,0,-100,0
2,4,542,164,0,-18,0
2,5,684,22,0,-99,0
2,6,414,707,0,-109,0
2,7,157,322,0,-227,0
2,8,174,330,0,-100,0
2,9,167,173,0,-268,0
2,10,346,225,0,-169,1
2,11,636,419,0,-106,1
2,12,134,738,0,39,1
2,13,96,243,0,-40,1
2,14,531,694,0,21,1
2,15,615,505,0,-266,1
2,16,438,670,0,-199,1
2,17,384,435,0,-35,1
2,18,190,596,0,-70,1
2,19,123,416,0,-240,1
2,20,503,274,0,36,1
2,21,374,587,0,-248,1
2,22,287,366,0,82,1
2,23,41,529,0,-101,1
2,24,453,294,0,-84,1
2,25,380,744,0,-154,1
2,26,402,638,0,20,1
2,27,383,722,0,-196,1
2,28,337,198,0,62,1
2,29,580,613,0,73,1
2,30,561,602,0,-49,1
2,31,413,319,0,83,1
2,32,660,429,0,-115,1
2,33,380,372,0,-177,1
2,34,255,410,0,-218,1
2,35,454,338,0,46,1
2,36,180,134,0,-100,1
2,37,639,595,0,60,1
2,38,616,185,0,-26,1
2,39,507,55,0,-17,1
2,40,19,568,0,-96,1
2,41,85,476,0,-160,1
2,42,48,126,0,-214,1
2,43,119,200,0,55,1
2,44,339,234,0,14,1
2,45,10,292,0,-247,1
2,46,134,85,0,-242,1
2,47,390,153,0,-63,1
2,48,605,14,0,81,1
2,49,118,540,0,-96,1
2,50,534,514,0,-122,1
2,51,158,729,0,74,1
2,52,391,160,0,-33,1
2,53,291,425,0,37,1
2,54,470,51,0,-206,1
2,55,723,664,0,-197,1
2,56,641,240,0,-200,1
2,57,565,309,0,-68,1
2,58,6,667,0,-181,1
