frame,id,x,y,image_index,angle,agent
0,0,503,576,0,-257,0
0,1,111,383,0,-264,0
0,2,729,241,0,14,0
0,3,63,42,0,51,0
0,4,89,392,0,-94,0
0,5,40,80,0,9,0
0,6,248,264,0,-150,0
0,7,631,646,0,-233,0
0,8,344,406,0,-54,0
0,9,75,510,0,16,0
0,10,135,303,0,-191,0
0,11,281,516,0,-67,0
0,12,216,179,0,81,0
0,13,262,740,0,-222,0
0,14,411,366,0,-172,0
0,15,427,549,0,-39,0
0,16,675,219,0,-130,0
0,17,277,593,0,-74,0
0,18,332,167,0,15,0
0,19,549,196,0,-8,0
0,20,485,743,0,-265,1
0,21,433,636,0,-231,1
0,22,80,441,0,0,1
0,23,532,446,0,-10,1
0,24,521,85,0,-32,1
0,25,341,368,0,-88,1
0,26,648,569,0,-147,1
0,27,313,300,0,34,1
0,28,31,303,0,-208,1
0,29,80,646,0,-212,1
0,30,140,704,0,-19,1
0,31,64,23,0,-145,1
0,32,744,611,0,-173,1
0,33,416,304,0,76,1
0,34,188,612,0,-241,1
0,35,531,629,0,43,1
0,36,77,339,0,83,1
0,37,564,290,0,-193,1
0,38,353,199,0,7,1
0,39,658,338,0,58,1
0,40,273,580,0,-219,1
0,41,86,170,0,50,1
0,42,436,545,0,-164,1
0,43,309,580,0,-104,1
0,44,487,8,0,-167,1
0,45,92,123,0,-259,1
0,46,303,619,0,33,1
0,47,469,422,0,71,1
0,48,120,167,0,-222,1
0,49,293,462,0,-45,1
0,50,441,618,0,-234,1
0,51,166,584,0,-5,1
0,52,99,355,0,59,1
0,53,9,445,0,36,1
0,54,109,320,0,68,1
0,55,661,592,0,-84,1
0,56,280,266,0,-13,1
0,57,726,63,0,-216,1
0,58,421,578,0,-99,1
0,59,523,16,0,57,1
0,60,37,63,0,-32,1
0,61,147,721,0,-244,1
0,62,569,691,0,-27,1
0,63,330,327,0,-39,1
0,64,171,509,0,-191,1
1,0,501,578,0,-231,0
1,1,108,384,0,-264,0
1,2,728,239,0,38,0
1,3,61,40,0,51,0
1,4,92,392,0,-94,0
1,5,40,77,0,9,0
1,6,250,267,0,-150,0
1,7,629,649,0,-209,0
1,8,346,404,0,-54,0
1,9,73,507,0,42,0
1,10,135,306,0,-183,0
1,11,284,515,0,-81,0
1,12,213,178,0,57,0
1,13,260,742,0,-222,0
1,14,412,368,0,-148,0
1,15,429,547,0,-39,0
1,16,677,222,0,-151,0
1,17,280,593,0,-74,0
1,18,331,164,0,17,0
1,19,549,193,0,-4,0
1,20,482,744,0,-265,1
1,21,431,637,0,-234,1
1,22,81,438,0,-9,1
1,23,533,443,0,-10,1
1,24,523,83,0,-32,1
1,25,344,368,0,-88,1
1,26,650,570,0,-127,1
1,27,311,297,0,34,1
1,28,30,306,0,-199,1
1,29,78,648,0,-212,1
1,30,142,702,0,-37,1
1,31,65,25,0,-140,1
1,32,743,614,0,-198,1
1,33,413,303,0,70,1
1,34,185,614,0,-241,1
1,35,529,627,0,43,1
1,36,74,338,0,83,1
1,37,563,293,0,-193,1
1,38,352,196,0,7,1
1,39,656,336,0,58,1
1,40,272,583,0,-192,1
1,41,84,168,0,46,1
1,43,312,580,0,-104,1
1,44,488,11,0,-167,1
1,45,90,125,0,-239,1
1,46,301,617,0,33,1
1,47,466,422,0,86,1
1,48,118,169,0,-222,1
1,49,295,461,0,-55,1
1,50,439,621,0,-210,1
1,51,166,581,0,-5,1
1,52,96,355,0,88,1
1,53,7,443,0,36,1
1,54,108,318,0,40,1
1,55,664,592,0,-84,1
1,56,281,263,0,-13,1
1,57,724,65,0,-238,1
1,58,424,579,0,-99,1
1,59,520,14,0,57,1
1,60,38,61,0,-27,1
1,61,144,723,0,-244,1
1,62,570,688,0,-27,1
1,63,333,325,0,-62,1
1,64,171,512,0,-186,1
1,65,429,547,0,-39,0
2,0,498,580,0,-231,0
2,1,106,383,0,72,0
2,2,725,237,0,59,0
2,3,58,38,0,55,0
2,4,94,393,0,-94,0
2,5,40,74,0,5,0
2,6,250,269,0,-162,0
2,7,628,652,0,-209,0
2,8,349,402,0,-54,0
2,9,71,505,0,42,0
2,10,135,309,0,-183,0
2,11,287,515,0,-81,0
2,12,211,176,0,50,0
2,13,258,743,0,-243,0
2,14,415,370,0,-122,0
2,15,431,544,0,-39,0
2,16,679,224,0,-142,0
2,17,282,592,0,-74,0
2,18,329,162,0,35,0
2,19,549,190,0,-4,0
2,20,479,744,0,-265,1
2,21,428,638,0,-252,1
2,22,81,435,0,-9,1
2,23,534,440,0,-15,1
2,24,524,80,0,-32,1
2,25,347,368,0,-88,1
2,26,652,572,0,-127,1
2,27,308,296,0,60,1
2,28,29,308,0,-199,1
2,29,77,651,0,-212,1
2,30,144,699,0,-37,1
2,31,68,27,0,-123,1
2,32,742,616,0,-198,1
2,33,410,302,0,70,1
2,34,183,616,0,-228,1
2,35,527,624,0,26,1
2,36,72,337,0,65,1
2,37,562,296,0,-193,1
2,38,352,193,0,7,1
2,39,653,336,0,83,1
2,41,82,166,0,46,1
2,43,314,582,0,-128,1
2,44,490,13,0,-140,1
2,45,87,125,0,-264,1
2,46,299,615,0,60,1
2,47,463,422,0,86,1
2,48,116,171,0,-222,1
2,49,298,459,0,-55,1
2,50,437,623,0,-219,1
2,51,166,578,0,1,1
2,52,93,355,0,88,1
2,53,6,440,0,23,1
2,54,106,316,0,40,1
2,55,667,593,0,-101,1
2,56,281,260,0,-5,1
2,57,721,65,0,-265,1
2,58,426,579,0,-99,1
2,59,517,13,0,77,1
2,60,39,58,0,-27,1
2,61,142,724,0,-244,1
2,62,570,685,0,-8,1
2,63,335,323,0,-48,1
2,64,170,514,0,-199,1
2,65,431,544,0,-39,0
2,66,283,592,0,-84,0
3,0,497,582,0,-213,0
3,1,103,382,0,70,0
3,2,722,236,0,69,0
3,3,56,37,0,55,0
3,4,97,392,0,-73,0
3,5,41,72,0,-24,0
