frame,id,x,y,image_index,angle,agent
0,0,22,331,0,-42,0
0,1,40,730,0,-225,0
0,2,527,645,0,-140,0
0,3,41,655,0,51,0
0,4,691,323,0,-184,0
0,5,29,19,0,-57,0
0,6,237,59,0,-152,0
0,7,254,122,0,28,0
0,8,264,61,0,-250,0
0,9,54,575,0,-259,0
0,10,343,595,0,-259,0
0,11,407,674,0,-126,0
0,12,248,654,0,15,0
0,13,629,500,0,-260,0
0,14,554,539,0,55,0
0,15,211,381,0,-125,1
0,16,150,553,0,-130,1
0,17,394,510,0,41,1
0,18,288,253,0,-262,1
0,19,19,356,0,-223,1
0,20,93,146,0,-158,1
0,21,115,23,0,-39,1
0,22,461,698,0,-144,1
0,23,158,711,0,-191,1
0,24,545,81,0,-236,1
0,25,614,344,0,-100,1
0,26,458,649,0,-102,1
0,27,529,456,0,-54,1
0,28,676,631,0,77,1
0,29,168,63,0,-56,1
0,30,203,312,0,77,1
0,31,609,400,0,-114,1
0,32,76,640,0,-68,1
0,33,593,325,0,85,1
0,34,33,607,0,-161,1
0,35,687,572,0,-161,1
0,36,106,20,0,-129,1
0,37,54,529,0,-7,1
0,38,616,201,0,31,1
0,39,735,32,0,-37,1
0,40,261,671,0,14,1
0,41,8,390,0,-41,1
0,42,350,257,0,-60,1
0,43,699,589,0,85,1
0,44,679,4,0,26,1
0,45,227,453,0,19,1
0,46,226,59,0,-86,1
0,47,61,76,0,-177,1
0,48,54,376,0,-129,1
0,49,158,336,0,-162,1
0,50,606,360,0,38,1
0,51,416,149,0,-199,1
0,52,712,665,0,-38,1
0,53,206,21,0,37,1
0,54,673,342,0,-54,1
0,55,76,584,0,-209,1
0,56,740,349,0,-112,1
0,57,369,21,0,11,1
0,58,369,682,0,-69,1
0,59,660,439,0,-160,1
1,0,24,329,0,-43,0
1,1,38,733,0,-223,0
1,2,528,648,0,-140,0
1,3,38,653,0,51,0
1,4,690,326,0,-191,0
1,5,32,18,0,-57,0
1,6,238,62,0,-152,0
1,7,253,119,0,28,0
1,8,261,62,0,-250,0
1,9,51,576,0,-259,0
1,10,340,596,0,-260,0
1,11,409,675,0,-126,0
1,12,247,651,0,15,0
1,13,626,500,0,-260,0
1,14,551,537,0,55,0
1,15,214,383,0,-125,1
1,16,152,553,0,-101,1
1,17,392,507,0,41,1
1,18,285,253,0,-262,1
1,19,17,359,0,-223,1
1,20,94,149,0,-158,1
1,21,117,21,0,-39,1
1,22,463,700,0,-144,1
1,23,158,714,0,-191,1
1,24,543,83,0,-236,1
1,25,617,344,0,-100,1
1,26,461,650,0,-102,1
1,27,531,454,0,-54,1
1,28,673,631,0,85,1
1,29,171,61,0,-56,1
1,30,200,312,0,77,1
1,31,612,401,0,-114,1
1,32,79,639,0,-68,1
1,33,590,324,0,85,1
1,34,34,610,0,-161,1
1,35,688,575,0,-161,1
1,36,108,22,0,-129,1
1,37,54,527,0,-7,1
1,38,614,199,0,35,1
1,39,737,30,0,-37,1
1,40,260,668,0,14,1
1,41,10,388,0,-41,1
1,42,353,255,0,-60,1
1,43,696,589,0,82,1
1,44,678,1,0,33,1
1,45,226,450,0,19,1
1,46,229,59,0,-86,1
1,47,61,79,0,-177,1
1,48,57,377,0,-129,1
1,49,159,339,0,-162,1
1,50,603,358,0,58,1
1,51,414,152,0,-224,1
1,52,714,663,0,-38,1
1,53,204,18,0,37,1
1,54,676,342,0,-82,1
1,55,75,587,0,-209,1
1,56,742,350,0,-112,1
1,57,368,18,0,11,1
1,58,371,681,0,-69,1
1,59,661,442,0,-160,1
2,0,26,327,0,-43,0
2,1,36,735,0,-223,0
2,2,530,650,0,-140,0
2,3,36,651,0,51,0
2,4,689,329,0,-191,0
2,5,35,16,0,-63,0
2,6,240,64,0,-149,0
2,7,251,117,0,28,0
2,8,258,63,0,-250,0
2,9,48,576,0,-259,0
2,10,337,596,0,-256,0
2,11,411,677,0,-126,0
2,12,247,648,0,15,0
2,13,623,501,0,-260,0
2,14,549,535,0,52,0
2,15,216,385,0,-125,1
2,16,155,554,0,-101,1
2,17,390,505,0,41,1
2,18,282,254,0,-262,1
2,19,15,361,0,-223,1
2,20,95,151,0,-158,1
2,21,119,18,0,-39,1
2,22,465,702,0,-144,1
2,23,157,717,0,-191,1
2,24,541,85,0,-221,1
2,25,620,345,0,-100,1
2,26,464,650,0,-102,1
2,27,533,453,0,-54,1
2,28,670,631,0,85,1
2,29,173,60,0,-56,1
2,30,197,311,0,77,1
2,31,615,401,0,-86,1
2,32,81,637,0,-52,1
2,33,587,324,0,85,1
2,34,35,613,0,-161,1
2,35,689,578,0,-161,1
2,36,109,25,0,-158,1
2,37,55,524,0,-7,1
2,38,613,197,0,35,1
2,39,738,27,0,-29,1
2,40,258,665,0,26,1
2,41,12,385,0,-41,1
