frame,id,x,y,image_index,angle,agent
0,0,284,656,0,-67,0
0,1,167,676,0,28,0
0,2,707,600,0,51,0
0,3,307,607,0,84,0
0,4,698,422,0,-47,0
0,5,490,311,0,-45,0
0,6,615,690,0,-214,0
0,7,313,588,0,-186,0
0,8,639,608,0,-135,0
0,9,587,581,0,-192,0
0,10,270,528,0,-149,0
0,11,482,647,0,-265,0
0,12,664,548,0,-255,0
0,13,616,104,0,33,0
0,14,51,712,0,7,0
0,15,559,36,0,-232,0
0,16,626,231,0,2,0
0,17,108,22,0,-6,0
0,18,722,350,0,56,0
0,19,378,662,0,-122,0
0,20,315,548,0,64,1
0,21,704,474,0,-75,1
0,22,594,663,0,11,1
0,23,499,704,0,-205,1
0,24,387,352,0,25,1
0,25,375,224,0,-32,1
0,26,467,665,0,-252,1
0,27,218,72,0,89,1
0,28,272,107,0,-69,1
0,29,331,56,0,55,1
0,30,377,141,0,-83,1
0,31,308,566,0,53,1
0,32,100,374,0,-185,1
0,33,644,231,0,-193,1
0,34,410,442,0,-180,1
0,35,591,637,0,-24,1
0,36,326,219,0,-163,1
0,37,246,462,0,49,1
0,38,133,705,0,-147,1
0,39,292,31,0,40,1
0,40,451,129,0,-77,1
0,41,394,355,0,-154,1
0,42,88,119,0,80,1
0,43,588,125,0,-3,1
0,44,280,543,0,-152,1
0,45,591,265,0,54,1
0,46,569,590,0,-79,1
0,47,355,215,0,16,1
0,48,543,580,0,-209,1
0,49,574,41,0,15,1
0,50,133,627,0,-127,1
0,51,246,61,0,-14,1
0,52,510,372,0,-6,1
0,53,468,143,0,15,1
0,54,56,12,0,-86,1
0,55,300,386,0,-73,1
0,56,198,274,0,-106,1
0,57,178,231,0,-192,1
0,58,357,260,0,-126,1
0,59,718,594,0,-215,1
0,60,691,545,0,0,1
0,61,187,481,0,-254,1
0,62,62,133,0,-188,1
0,63,525,287,0,-207,1
0,64,106,367,0,-80,1
1,0,289,653,0,-67,0
1,1,164,670,0,28,0
1,2,703,596,0,51,0
1,3,301,608,0,-267,0
1,4,701,417,0,-34,0
1,5,494,307,0,-45,0
1,6,611,695,0,-214,0
1,7,312,593,0,-186,0
1,8,643,612,0,-135,0
1,9,589,587,0,-165,0
1,10,273,533,0,-149,0
1,11,476,648,0,-265,0
1,12,658,550,0,-255,0
1,13,613,99,0,33,0
1,14,50,706,0,7,0
1,15,555,41,0,-215,0
1,16,626,225,0,2,0
1,17,108,16,0,-6,0
1,18,716,348,0,70,0
1,19,383,665,0,-122,0
1,20,310,546,0,64,1
1,21,710,473,0,-75,1
1,22,593,657,0,11,1
1,23,497,709,0,-205,1
1,24,385,347,0,25,1
1,25,378,219,0,-32,1
1,26,461,666,0,-252,1
1,27,212,71,0,89,1
1,28,277,105,0,-69,1
1,29,326,53,0,55,1
1,30,383,139,0,-66,1
1,31,303,563,0,53,1
1,32,99,380,0,-182,1
1,33,643,236,0,-193,1
1,34,410,448,0,-180,1
1,35,594,631,0,-24,1
1,36,328,225,0,-163,1
1,37,241,458,0,49,1
1,38,137,710,0,-147,1
1,39,288,26,0,40,1
1,40,457,128,0,-77,1
1,41,397,360,0,-154,1
1,42,82,118,0,80,1
1,43,588,119,0,-3,1
1,44,283,549,0,-152,1
1,45,586,263,0,68,1
1,46,575,589,0,-79,1
1,47,353,209,0,16,1
1,48,540,585,0,-209,1
1,49,572,36,0,15,1
1,50,137,631,0,-127,1
1,51,248,55,0,-12,1
1,52,510,366,0,-6,1
1,53,466,137,0,15,1
1,54,62,11,0,-86,1
1,55,306,384,0,-73,1
1,56,204,275,0,-106,1
1,57,177,237,0,-192,1
1,58,363,262,0,-108,1
1,60,691,539,0,0,1
1,61,182,480,0,80,1
1,62,62,139,0,-188,1
1,63,522,292,0,-207,1
1,64,112,366,0,-80,1
2,0,295,651,0,-67,0
2,1,163,664,0,4,0
2,2,703,596,0,51,0
2,3,295,608,0,-267,0
2,4,705,413,0,-44,0
2,5,499,303,0,-45,0
2,6,609,701,0,-206,0
2,7,312,599,0,-186,0
2,8,647,617,0,-135,0
2,9,590,592,0,-165,0
2,10,276,538,0,-149,0
2,11,470,648,0,-265,0
2,12,653,552,0,-255,0
2,13,610,94,0,33,0
2,14,50,700,0,7,0
2,15,552,46,0,-215,0
2,16,626,219,0,7,0
2,17,109,10,0,-6,0
2,18,712,344,0,46,0
2,19,388,669,0,-122,0
2,20,305,543,0,64,1
2,21,716,471,0,-75,1
2,22,591,651,0,11,1
2,23,497,715,0,-178,1
2,24,382,341,0,25,1
2,25,381,214,0,-32,1
2,26,455,668,0,-252,1
2,27,206,71,0,89,1
2,28,283,103,0,-69,1
2,29,321,50,0,63,1
2,30,388,136,0,-66,1
2,31,298,559,0,53,1
2,32,99,386,0,-182,1
2,33,640,242,0,-202,1
2,34,410,454,0,-180,1
2,35,596,626,0,-24,1
2,36,330,231,0,-163,1
2,37,236,455,0,66,1
2,38,140,715,0,-147,1
2,39,284,21,0,40,1
2,40,462,126,0,-77,1
2,41,399,365,0,-154,1
2,42,76,117,0,80,1
2,43,587,113,0,11,1
2,44,286,554,0,-152,1
2,45,580,261,0,68,1
2,46,581,588,0,-79,1
2,47,352,204,0,16,1
2,48,537,590,0,-209,1
2,49,571,30,0,15,1
2,50,143,634,0,-118,1
2,51,249,50,0,-12,1
2,52,511,360,0,-6,1
2,53,465,131,0,13,1
2,54,68,11,0,-86,1
2,55,312,382,0,-73,1
2,56,210,277,0,-106,1
2,57,175,243,0,-192,1
2,58,369,263,0,-108,1
2,60,692,533,0,0,1
2,61,176,479,0,80,1
2,62,61,145,0,-188,1
2,63,519,298,0,-207,1
2,64,118,365,0,-80,1
3,0,300,649,0,-67,0
3,1,163,658,0,4,0
3,2,703,596,0,51,0
3,3,289,608,0,-267,0
3,4,709,408,0,-41,0
3,5,503,299,0,-45,0
3,6,608,707,0,-184,0
3,7,311,605,0,-186,0
3,8,650,622,0,-149,0
3,9,592,598,0,-164,0
3,10,279,543,0,-149,0
3,11,464,649,0,-265,0
3,12,647,553,0,-255,0
3,13,607,89,0,33,0
3,14,49,694,0,7,0
3,15,548,51,0,-215,0
3,16,625,213,0,7,0
3,17,107,4,0,18,0
3,18,710,339,0,21,0
3,19,391,674,0,-147,0
3,20,299,541,0,64,1
3,21,722,470,0,-75,1
3,22,590,645,0,11,1
3,23,497,721,0,-178,1
3,24,380,336,0,25,1
3,25,384,209,0,-32,1
3,26,451,673,0,-222,1
3,27,200,71,0,89,1
3,28,288,101,0,-69,1
3,29,316,48,0,69,1
3,30,394,134,0,-66,1
3,31,293,556,0,53,1
3,32,98,392,0,-193,1
3,33,638,247,0,-202,1
3,34,410,460,0,-180,1
3,35,599,620,0,-24,1
3,36,331,237,0,-163,1
3,37,230,453,0,66,1
3,38,143,720,0,-147,1
3,39,280,17,0,40,1
3,40,468,125,0,-77,1
3,41,402,371,0,-154,1
3,42,70,116,0,80,1
3,43,586,107,0,11,1
3,44,289,559,0,-152,1
3,45,575,259,0,68,1
3,46,587,587,0,-79,1
3,47,350,198,0,16,1
3,48,535,596,0,-209,1
3,49,572,24,0,-14,1
3,50,148,637,0,-118,1
3,51,250,44,0,-12,1
3,52,511,354,0,-6,1
3,53,464,125,0,13,1
3,54,74,10,0,-86,1
3,55,317,380,0,-73,1
3,56,215,279,0,-106,1
3,57,174,249,0,-192,1
3,58,375,265,0,-108,1
3,60,692,527,0,0,1
3,61,170,478,0,80,1
3,62,60,150,0,-188,1
3,63,516,303,0,-207,1
3,64,124,364,0,-80,1
4,0,306,646,0,-67,0
4,1,163,652,0,4,0
4,2,703,596,0,51,0
4,3,283,609,0,-267,0
4,4,711,403,0,-12,0
4,5,508,295,0,-52,0
4,6,608,713,0,-184,0
4,7,311,611,0,-186,0
4,8,655,625,0,-125,0
4,9,591,604,0,-189,0
4,10,282,548,0,-149,0
4,11,459,649,0,-265,0
4,12,641,554,0,-263,0
4,13,606,83,0,9,0
4,14,48,688,0,7,0
4,15,545,56,0,-215,0
4,16,626,207,0,-14,0
4,17,105,-2,0,18,0
4,18,708,333,0,21,0
4,19,394,679,0,-147,0
4,20,294,538,0,64,1
4,21,727,467,0,-59,1
4,22,589,639,0,11,1
4,23,498,727,0,-178,1
4,24,377,330,0,25,1
4,25,387,204,0,-32,1
4,26,447,677,0,-222,1
4,27,194,71,0,89,1
4,28,294,99,0,-73,1
4,29,310,45,0,69,1
4,30,399,131,0,-66,1
4,31,289,551,0,46,1
4,32,96,398,0,-193,1
4,33,636,253,0,-202,1
4,34,410,466,0,-180,1
4,35,601,615,0,-24,1
4,36,333,242,0,-163,1
4,37,225,450,0,66,1
4,38,146,725,0,-147,1
4,39,276,12,0,40,1
4,40,474,124,0,-77,1
